file_path,object_name,field_name,default_value_in_default_min_case
I0/assembly_topology.csv,AssemblyTopology,topology_id,TOPO_DEFAULT
I0/assembly_topology.csv,AssemblyTopology,assembly_step,1
I0/assembly_topology.csv,AssemblyTopology,stage_id,S_LOCATE_01
I0/assembly_topology.csv,AssemblyTopology,part_in,P_PART_B
I0/assembly_topology.csv,AssemblyTopology,existing_subassembly,ASM_DEFAULT
I0/assembly_topology.csv,AssemblyTopology,interface_id,G_PART_A_PART_B
I0/assembly_topology.csv,AssemblyTopology,operation_type,LOCATE
I0/assembly_topology.csv,AssemblyTopology,predecessor,
I0/assembly_topology.csv,AssemblyTopology,successor,S_CLAMP_02
I0/assembly_topology.csv,AssemblyTopology,metadata,"{""note"":""默认占位值；请替换为真实工程数据。"",""schema_version"":""V2.5""}"
I0/interface.csv,Interface,interface_id,G_PART_A_PART_B
I0/interface.csv,Interface,interface_name,DEFAULT_INTERFACE
I0/interface.csv,Interface,part_i,P_PART_A
I0/interface.csv,Interface,part_j,P_PART_B
I0/interface.csv,Interface,side_i_region_id,REG_A_DEFAULT
I0/interface.csv,Interface,side_j_region_id,REG_B_DEFAULT
I0/interface.csv,Interface,material_pair,CFRP-Metal
I0/interface.csv,Interface,nominal_gap,0.100
I0/interface.csv,Interface,contact_candidate_flag,TRUE
I0/interface.csv,Interface,key_contact_flag,TRUE
I0/interface.csv,Interface,coordinate_system_id,CS_ASSEMBLY
I0/interface.csv,Interface,metadata,"{""note"":""默认占位值；请替换为真实工程数据。"",""schema_version"":""V2.5""}"
I0/local_region_definition.csv,LocalRegionDefinition,local_region_id,LR_DEFAULT
I0/local_region_definition.csv,LocalRegionDefinition,interface_id,G_PART_A_PART_B
I0/local_region_definition.csv,LocalRegionDefinition,included_geometry_regions,REG_A_DEFAULT;REG_B_DEFAULT
I0/local_region_definition.csv,LocalRegionDefinition,candidate_contact_region_ids,CD_G_PART_A_PART_B
I0/local_region_definition.csv,LocalRegionDefinition,kcp_sensitive_region_ids,KCP_ZONE_DEFAULT
I0/local_region_definition.csv,LocalRegionDefinition,margin_rule,default_margin
I0/local_region_definition.csv,LocalRegionDefinition,margin_distance,10.0
