object_name,input_package,file_path,primary_key,code_consumer,producer,is_synthetic,is_runtime_result,group,row_mode
AssemblyTopology,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/assembly_topology.csv,topology_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
Interface,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/interface.csv,interface_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
JointDefinition,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/joint_definition.csv,joint_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
LocalRegionDefinition,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/local_region_definition.csv,local_region_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
Material,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/material.csv,material_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
NominalModel,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/nominal_model.csv,nominal_model_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
Part,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/part.csv,part_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
SmsPrior,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/sms_prior.csv,sms_prior_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
StageDefinition,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/stage_definition.csv,stage_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
Subassembly,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/subassembly.csv,subassembly_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
SubassemblyMembership,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I0/subassembly_membership.csv,membership_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I0,synthetic_stage_measurement_update
AreaWeightMatrix,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_Gamma/area_weight_matrix.csv,area_weight_matrix_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
ContactDomain,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_Gamma/contact_domain.csv,contact_domain_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
ContactPoint,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_Gamma/contact_point.csv,point_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
ExtendedContactDomain,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_Gamma/extended_contact_domain.csv,extended_domain_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
ExtendedGapAndCompliance,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_Gamma/extended_gap_and_compliance.csv,ext_gap_compliance_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
GapField,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_Gamma/gap_field.csv,gap_field_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_Gamma,synthetic_stage_measurement_update
FeatureMapping,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_key/feature_mapping.csv,feature_mapping_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_key,synthetic_stage_measurement_update
KcmDefinition,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_key/kcm_definition.csv,kcm_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_key,synthetic_stage_measurement_update
KcpDefinition,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_key/kcp_definition.csv,kcp_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_key,synthetic_stage_measurement_update
DataSplit,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/data_split.csv,data_split_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
FixtureCalibration,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/fixture_calibration.csv,fixture_calibration_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
InterfaceTestSetup,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/interface_test_setup.csv,setup_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
InterfaceTestSpecimen,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/interface_test_specimen.csv,specimen_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
LoadingPath,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/loading_path.csv,loading_path_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
MeasurementCheckpointSpec,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/measurement_checkpoint.csv,checkpoint_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
MeasurementObservationSpec,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/measurement_observation_map.csv,observation_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
MeasurementPackage,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/measurement_package.csv,measurement_package_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
MeasurementRecord,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/measurement_record.csv,measurement_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
MeasurementStateCompensationResult,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/measurement_state_compensation_result.csv,compensation_result_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
MeasurementStateSnapshot,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/measurement_state_snapshot.csv,measurement_state_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
MeasurementUpdateConfig,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/measurement_update_config.csv,update_config_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
SensorCalibration,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_meas/sensor_calibration.csv,sensor_calibration_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_meas,synthetic_stage_measurement_update
BoundaryInheritanceRecord,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_red/boundary_inheritance_record.csv,boundary_inheritance_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_red,synthetic_stage_measurement_update
CacheInvalidationRule,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_red/cache_invalidation_rule.csv,rule_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_red,synthetic_stage_measurement_update
CondensedOperator,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_red/condensed_operator.csv,condensed_operator_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_red,synthetic_stage_measurement_update
DofPartition,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_red/dof_partition.csv,dof_partition_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_red,synthetic_stage_measurement_update
FactorizationCache,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_red/factorization_cache.csv,factorization_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_red,synthetic_stage_measurement_update
LocalModelValidationResult,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_red/local_model_validation_result.csv,validation_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_red,synthetic_stage_measurement_update
LocalSubmodelExtraction,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_red/local_submodel_extraction.csv,local_model_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_red,synthetic_stage_measurement_update
BoundaryItem,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_stage/boundary_item.csv,boundary_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_stage,synthetic_stage_measurement_update
ConnectionLockHistory,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_stage/connection_lock_history.csv,lock_history_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_stage,synthetic_stage_measurement_update
InterfaceStageState,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_stage/interface_stage_state.csv,interface_stage_state_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_stage,synthetic_stage_measurement_update
LoadItem,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_stage/load_item.csv,load_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_stage,synthetic_stage_measurement_update
LocatorCompliance,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_stage/locator_compliance.csv,compliance_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_stage,synthetic_stage_measurement_update
LocatorElement,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_stage/locator_element.csv,locator_element_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_stage,synthetic_stage_measurement_update
OverconstraintLocatorGroup,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_stage/overconstraint_locator_group.csv,locator_group_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_stage,synthetic_stage_measurement_update
PartStageState,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_stage/part_stage_state.csv,part_stage_state_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_stage,synthetic_stage_measurement_update
ReducedForceVector,04_POSTERIOR_VIRTUAL_SMS_ROLLING_MIN_CASE,I_stage/reduced_force_vector.csv,reduced_force_vector_id,core.data_loader;core.stage_measurement_update,scripts/build_stage_measurement_update_fixture.py,True,False,I_stage,synthetic_stage_measurement_update
