file_path,object_name,field_name,data_type,required,cardinality,unit,enum_or_format,key_semantics,missing_handling,description,example_value
I0/assembly_topology.csv,AssemblyTopology,topology_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.topology_id,TOPOLOGY_STEP_MIN_CASE
I0/assembly_topology.csv,AssemblyTopology,measurement_checkpoint_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.measurement_checkpoint_id,MCP_AFTER_ABC
I0/assembly_topology.csv,AssemblyTopology,reference_state_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.reference_state_id,PARENT_RUNTIME_STATE
I0/assembly_topology.csv,AssemblyTopology,topology_step_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.topology_step_id,TS000
I0/assembly_topology.csv,AssemblyTopology,step_order,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.step_order,0
I0/assembly_topology.csv,AssemblyTopology,parent_topology_step_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.parent_topology_step_id,TS000
I0/assembly_topology.csv,AssemblyTopology,assembly_cycle_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.assembly_cycle_id,CYCLE_INIT
I0/assembly_topology.csv,AssemblyTopology,operation_type,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.operation_type,INIT
I0/assembly_topology.csv,AssemblyTopology,stage_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.stage_id,S_LOCATE_01
I0/assembly_topology.csv,AssemblyTopology,input_subassembly_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.input_subassembly_id,ASM_A
I0/assembly_topology.csv,AssemblyTopology,result_subassembly_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.result_subassembly_id,ASM_A
I0/assembly_topology.csv,AssemblyTopology,added_part_ids,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.added_part_ids,P_A
I0/assembly_topology.csv,AssemblyTopology,removed_part_ids,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.removed_part_ids,
I0/assembly_topology.csv,AssemblyTopology,activated_interface_ids,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.activated_interface_ids,G_AB
I0/assembly_topology.csv,AssemblyTopology,deactivated_interface_ids,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.deactivated_interface_ids,
I0/assembly_topology.csv,AssemblyTopology,activated_boundary_ids,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.activated_boundary_ids,BND_PANEL_BASE;BND_RIB_PIN
I0/assembly_topology.csv,AssemblyTopology,deactivated_boundary_ids,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.deactivated_boundary_ids,BND_PANEL_BASE;BND_RIB_PIN
I0/assembly_topology.csv,AssemblyTopology,activated_load_ids,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.activated_load_ids,LOAD_GRAVITY_ALL
I0/assembly_topology.csv,AssemblyTopology,removed_load_ids,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.removed_load_ids,LOAD_CLAMP_G_AB
I0/assembly_topology.csv,AssemblyTopology,activated_joint_ids,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.activated_joint_ids,JNT_AB
I0/assembly_topology.csv,AssemblyTopology,deactivated_joint_ids,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.deactivated_joint_ids,
I0/assembly_topology.csv,AssemblyTopology,operator_set_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.operator_set_id,OP_TS101
I0/assembly_topology.csv,AssemblyTopology,solve_required,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.solve_required,False
I0/assembly_topology.csv,AssemblyTopology,notes,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.notes,Initialize the first part without solving.
I0/assembly_topology.csv,AssemblyTopology,assembly_step,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.assembly_step,0
I0/assembly_topology.csv,AssemblyTopology,part_in,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.part_in,P_A
I0/assembly_topology.csv,AssemblyTopology,existing_subassembly,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.existing_subassembly,ASM_A
I0/assembly_topology.csv,AssemblyTopology,result_subassembly,string,False,0..1,per_object_definition,,,blank allowed,AssemblyTopology.result_subassembly,ASM_A
I0/assembly_topology.csv,AssemblyTopology,predecessor_step_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.predecessor_step_id,TS000
I0/assembly_topology.csv,AssemblyTopology,successor_step_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,AssemblyTopology.successor_step_id,TS101
I0/interface.csv,Interface,interface_id,string,True,1,per_object_definition,,primary or foreign key,blocking if required,Interface.interface_id,G_AB
